code,name
A01,Larsen's Opening
A02,Bird's Opening
A03,"Bird's Opening, 1...d5"
A04,Zukertort Opening
A05,"Zukertort Opening, 2...Nf6"
A06,R?ti Opening
A07,King's Indian attack (Barcza system)
A08,"King's Indian Attack, 3. Bg2"
A09,"R?ti Opening, without: 2...c6, 2...e6"
A10,English Opening
A11,"English, Caro-Kann defensive system"
A12,"English, Caro-Kann defensive system"
A13,English Opening
A14,"English, Neo-Catalan declined"
A15,"English, 1...Nf6 (Anglo-Indian defense)"
A16,English Opening
A17,"English Opening, Hedgehog Defense"
A18,"English, Mikenas-Carls variation"
A19,"English, Mikenas-Carls, Sicilian variation"
A20,English Opening
A21,English Opening
A22,English Opening
A23,"English Opening, Bremen system, Keres variation"
A24,"English Opening, Bremen system with 3...g6"
A25,"English Opening, Sicilian Reversed"
A26,"English Opening, Closed system"
A27,"English Opening, Three knights system"
A28,"English Opening, Four knights system"
A29,"English Opening, Four knights, kingside Fianchetto"
A30,"English Opening, Symmetrical variation"
A31,"English Opening, Symmetrical, Benoni formation"
A32,"English Opening, Symmetrical"
A33,"English Opening, Symmetrical"
A34,"English Opening, Symmetrical"
A35,"English Opening, Symmetrical"
A36,"English Opening, Symmetrical"
A37,"English Opening, Symmetrical"
A38,"English Opening, Symmetrical"
A39,"English Opening, Symmetrical, Main line with d4"
A40,"Queen's Pawn Game, Irregular Defences"
A41,"Queen's Pawn Game, Wade Defense"
A42,"Modern defense, Averbakh system"
A43,Old Benoni defense
A44,Old Benoni defense
A45,"Queen's Pawn Game, Trompowsky Attack"
A46,"Queen's Pawn Game, Torre Attack"
A47,Queen's Indian Defense
A48,"King's Indian, East Indian defense"
A49,"King's Indian, Fianchetto without c4"
A50,Queen's Pawn Game (1... Nf6 2. c4)
A51,Budapest Defense declined
A52,Budapest defense
A53,Old Indian Defense
A54,"Old Indian, Ukrainian variation"
A55,"Old Indian, Main line"
A56,Benoni Defense
A57,Benko gambit
A58,Benko gambit accepted
A59,"Benko gambit, 7.e4"
A60,Benoni defense
A61,Benoni defense
A62,"Benoni, Fianchetto variation"
A63,"Benoni, Fianchetto variation, 9...Nbd7"
A64,"Benoni, Fianchetto variation, 11...Re8"
A65,"Benoni, 6.e4"
A66,"Benoni, pawn storm variation"
A67,"Benoni, Taimanov variation"
A68,"Benoni, Four pawns attack"
A69,"Benoni, Four pawns attack, Main line"
A70,"Benoni, Classical with e4 and Nf3"
A71,"Benoni, Classical, 8.Bg5"
A72,"Benoni, Classical without 9.O-O"
A73,"Benoni, Classical, 9.O-O"
A74,"Benoni, Classical, 9...a6, 10.a4"
A75,"Benoni, Classical with ...a6 and 10...Bg4"
A76,"Benoni, Classical, 9...Re8"
A77,"Benoni, Classical, 9...Re8, 10.Nd2"
A78,"Benoni, Classical with ...Re8 and ...Na6"
A79,"Benoni, Classical, 11.f3"
A80,Dutch defense
A81,Dutch defense
A82,"Dutch, Staunton gambit"
A83,"Dutch, Staunton gambit, Staunton's line"
A84,Dutch defense
A85,Dutch with 2.c4 & 3.Nc3
A86,Dutch with 2.c4 & 3.g3
A87,"Dutch, Leningrad, Main variation"
A88,"Dutch, Leningrad, Main variation with 7...c6"
A89,"Dutch, Leningrad, Main variation with Nc6"
A90,Dutch defense
A91,Dutch defense
A92,Dutch defense
A93,"Dutch, Stonewall, Botwinnik variation"
A94,"Dutch, Stonewall with Ba3"
A95,"Dutch, Stonewall with Nc3"
A96,"Dutch, Classical variation"
A97,"Dutch, Ilyin-Genevsky variation"
A98,"Dutch, Ilyin-Genevsky variation with Qc2"
A99,"Dutch, Ilyin-Genevsky variation with b3"
B00,"King's Pawn Opening, Irregular Defenses"
B01,Scandinavian Defense (Center-Counter Defense)
B02,Alekhine's defense
B03,Alekhine's defense
B04,"Alekhine's defense, Modern variation"
B05,"Alekhine's defense, Modern variation, 4...Bg4"
B06,Robatsch (Modern) defense
B07,Pirc defense
B08,"Pirc, Classical (Two knights) system"
B09,"Pirc, Austrian attack"
B10,"Caro-Kann Defense, Irregular Responses"
B11,"Caro-Kann, Two knights, 3...Bg4"
B12,Caro-Kann defense
B13,"Caro-Kann, Exchange variation"
B14,"Caro-Kann, Panov-Botvinnik attack, 5...e6"
B15,Caro-Kann defense
B16,"Caro-Kann, Bronstein-Larsen variation"
B17,"Caro-Kann, Steinitz variation"
B18,"Caro-Kann, Classical variation"
B19,"Caro-Kann, Classical, 7...Nd7"
B20,"Sicilian defense, Irregular Responses"
B21,"Sicilian, Grand Prix attack and Smith-Morra Gambit"
B22,"Sicilian, Alapin's variation (2.c3)"
B23,"Sicilian, Closed"
B24,"Sicilian, Closed"
B25,"Sicilian, Closed"
B26,"Sicilian, Closed, 6.Be3"
B27,Sicilian defense
B28,"Sicilian, O'Kelly variation"
B29,"Sicilian, Nimzovich-Rubinstein variation"
B30,Sicilian defense
B31,"Sicilian, Nimzovich-Rossolimo attack (with ...g6, without ...d6)"
B32,Sicilian defense
B33,"Sicilian, Sveshnikov (Lasker-Pelikan) variation"
B34,"Sicilian, Accelerated Fianchetto, Exchange variation"
B35,"Sicilian, Accelerated Fianchetto, Modern variation with Bc4"
B36,"Sicilian, Accelerated Fianchetto, Maroczy bind"
B37,"Sicilian, Accelerated Fianchetto, Maroczy bind, 5...Bg7"
B38,"Sicilian, Accelerated Fianchetto, Maroczy bind, 6.Be3"
B39,"Sicilian, Accelerated Fianchetto, Breyer variation"
B40,Sicilian defense
B41,"Sicilian, Kan variation"
B42,"Sicilian, Kan, 5.Bd3"
B43,"Sicilian, Kan, 5.Nc3"
B44,Sicilian defense
B45,"Sicilian, Taimanov variation"
B46,"Sicilian, Taimanov variation"
B47,"Sicilian, Taimanov (Bastrikov) variation"
B48,"Sicilian, Taimanov variation"
B49,"Sicilian, Taimanov variation"
B50,Sicilian
B51,"Sicilian, Canal-Sokolsky attack"
B52,"Sicilian, Canal-Sokolsky attack, 3...Bd7"
B53,"Sicilian, Chekhover variation"
B54,Sicilian
B55,"Sicilian, Prins variation, Venice attack"
B56,Sicilian
B57,"Sicilian, Sozin (not Scheveningen)"
B58,"Sicilian, Classical"
B59,"Sicilian, Boleslavsky variation, 7.Nb3"
B60,"Sicilian, Richter-Rauzer"
B61,"Sicilian, Richter-Rauzer, Larsen variation, 7.Qd2"
B62,"Sicilian, Richter-Rauzer, 6...e6"
B63,"Sicilian, Richter-Rauzer, Rauzer attack"
B64,"Sicilian, Richter-Rauzer, Rauzer attack, 7...Be7 defense, 9.f4"
B65,"Sicilian, Richter-Rauzer, Rauzer attack, 7...Be7 defense, 9...Nxd4"
B66,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6"
B67,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defense, 8...Bd7"
B68,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defense, 9...Be7"
B69,"Sicilian, Richter-Rauzer, Rauzer attack, 7...a6 defense, 11.Bxf6"
B70,"Sicilian, Dragon variation"
B71,"Sicilian, Dragon, Levenfish variation"
B72,"Sicilian, Dragon, 6.Be3"
B73,"Sicilian, Dragon, Classical, 8.O-O"
B74,"Sicilian, Dragon, Classical, 9.Nb3"
B75,"Sicilian, Dragon, Yugoslav attack"
B76,"Sicilian, Dragon, Yugoslav attack, 7...O-O"
B77,"Sicilian, Dragon, Yugoslav attack, 9.Bc4"
B78,"Sicilian, Dragon, Yugoslav attack, 10.O-O-O"
B79,"Sicilian, Dragon, Yugoslav attack, 12.h4"
B80,"Sicilian, Scheveningen variation"
B81,"Sicilian, Scheveningen, Keres attack"
B82,"Sicilian, Scheveningen, 6.f4"
B83,"Sicilian, Scheveningen, 6.Be2"
B84,"Sicilian, Scheveningen (Paulsen), Classical variation"
B85,"Sicilian, Scheveningen, Classical variation with ...Qc7 and ...Nc6"
B86,"Sicilian, Sozin attack"
B87,Sozin with ...a6 and ...b5
B88,"Sicilian, Sozin, Leonhardt variation"
B89,"Sicilian, Sozin, 7.Be3"
B90,"Sicilian, Najdorf"
B91,"Sicilian, Najdorf, Zagreb (Fianchetto) variation"
B92,"Sicilian, Najdorf, Zagreb (Fianchetto) variation"
B93,"Sicilian, Najdorf, 6.f4"
B94,"Sicilian, Najdorf, 6.Bg5"
B95,"Sicilian, Najdorf, 6...e6"
B96,"Sicilian, Najdorf, 7.f4"
B97,"Sicilian, Najdorf, 7...Qb6"
B98,"Sicilian, Najdorf, 7...Be7"
B99,"Sicilian, Najdorf, 7...Be7 Main line"
C00,"French Defense, Irregular Responses"
C01,"French, Exchange Variation"
C02,"French, Advance Variation"
C03,"French, Tarrasch"
C04,"French, Tarrasch, Guimard Main line"
C05,"French, Tarrasch, Closed Variation"
C06,"French, Tarrasch, Closed Variation, Main line"
C07,"French, Tarrasch, Open Variation"
C08,"French, Tarrasch, Open, 4.exd5 exd5"
C09,"French, Tarrasch, Open Variation, Main line"
C10,"French, Paulsen Variation"
C11,French Defense
C12,"French, MacCutcheon Variation"
C13,"French, Classical"
C14,"French, Classical Variation"
C15,"French, Winawer (Nimzovich) Variation"
C16,"French, Winawer, Advance Variation"
C17,"French, Winawer, Advance Variation"
C18,"French, Winawer, Advance Variation"
C19,"French, Winawer, Advance, 6...Ne7"
C20,"Open Game, Irregular Responses"
C21,Center Game
C22,Center Game
C23,Bishop's Opening
C24,"Bishop's Opening, Berlin Defense"
C25,Vienna Game
C26,"Vienna Game, Falkbeer Variation"
C27,Vienna Game
C28,Vienna Game
C29,"Vienna Gambit, Kaufmann Variation"
C30,King's Gambit
C31,"King's Gambit Declined, Falkbeer Countergambit"
C32,"King's Gambit Declined, Falkbeer, 5. dxe4"
C33,King's Gambit Accepted
C34,King's Gambit Accepted
C35,"King's Gambit Accepted, Cunningham Defense"
C36,"King's Gambit Accepted, Abbazia Defense (Classical Defense, Modern Defense)"
C37,"King's Gambit Accepted, Quaade Gambit"
C38,King's Gambit Accepted
C39,"KGA, Allagier & Kiesertisky Gambits"
C40,King's Knight Opening
C41,Philidor Defense
C42,"Petrov's Defense, Classical Variation"
C43,"Petrov's Defense, Steinitz (Modern) Attack"
C44,King's Pawn Game
C45,Scotch Game
C46,Three Knights Game
C47,"Four Knights Game, Scotch Variation"
C48,"Four Knights Game, Spanish Variation"
C49,"Four Knights Game, Double Ruy Lopez"
C50,King's Pawn Game
C51,Evans Gambit
C52,Evans Gambit with 4...Bxb4 5.c3 Ba5
C53,Giuoco Piano
C54,Giuoco Piano
C55,Two Knights Defense
C56,Two Knights Defense
C57,Two Knights Defense
C58,Two Knights Defense
C59,Two Knights Defense
C60,Ruy Lopez
C61,"Ruy Lopez, Bird's Defense"
C62,"Ruy Lopez, Old Steinitz Defense"
C63,"Ruy Lopez, Schliemann Defense"
C64,"Ruy Lopez, Classical (Cordel) Defense"
C65,"Ruy Lopez, Berlin Defense"
C66,"Ruy Lopez, Berlin Defense, 4.O-O, d6"
C67,"Ruy Lopez, Berlin Defense, Open variation"
C68,"Ruy Lopez, Exchange Variation"
C69,"Ruy Lopez, Exchange Variation, 5.O-O"
C70,Ruy Lopez
C71,"Ruy Lopez, Modern Steinitz Defense"
C72,"Ruy Lopez, Modern Steinitz Defense 5.0-0"
C73,"Ruy Lopez, Modern Steinitz Defense, Richter variation"
C74,"Ruy Lopez, Modern Steinitz Defense"
C75,"Ruy Lopez, Modern Steinitz Defense"
C76,"Ruy Lopez, Modern Steinitz Defense, Fianchetto (Bronstein) variation"
C77,"Ruy Lopez, Morphy Defense"
C78,"Ruy Lopez, 5.O-O"
C79,"Ruy Lopez, Steinitz Defense Deferred (Russian Defense)"
C80,"Ruy Lopez, Open (Tarrasch) Defense"
C81,"Ruy Lopez, Open, Howell Attack"
C82,"Ruy Lopez, Open, 9.c3"
C83,"Ruy Lopez, Open, Classical Defense"
C84,"Ruy Lopez, Closed Defense"
C85,"Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)"
C86,"Ruy Lopez, Worrall Attack"
C87,"Ruy Lopez, Closed, Averbach Variation"
C88,"Ruy Lopez, Closed"
C89,"Ruy Lopez, Marshall Counterattack"
C90,"Ruy Lopez, Closed (with ...d6)"
C91,"Ruy Lopez, Closed, 9.d4"
C92,"Ruy Lopez, Closed, 9.h3"
C93,"Ruy Lopez, Closed, Smyslov Defense"
C94,"Ruy Lopez, Closed, Breyer Defense"
C95,"Ruy Lopez, Closed, Breyer, 10.d4"
C96,"Ruy Lopez, Closed, 8...Na5"
C97,"Ruy Lopez, Closed, Chigorin Defense"
C98,"Ruy Lopez, Closed, Chigorin, 12...Nc6"
C99,"Ruy Lopez, Closed, Chigorin, 12...c5d4"
D00,"Closed Game, Irregular Responses"
D01,Richter-Veresov Attack
D02,"Queen's Pawn Game, 2. Nf3"
D03,"Torre Attack, Tartakower variation"
D04,Queen's Pawn Game
D05,"Queen's Pawn Game, Zukertort variation"
D06,Queen's Gambit
D07,QGD; Chigorin defense
D08,QGD; Albin Countergambit
D09,"QGD; Albin Countergambit, 5.g3"
D10,QGD; Slav Defense
D11,"QGD; Slav defense, 3.Nf3"
D12,"QGD; Slav defense, 4.e3 Bf5"
D13,"QGD; Slav defense, Exchange variation"
D14,"QGD; Slav defense, Exchange variation"
D15,"QGD; Slav, 4.Nc3"
D16,"QGD; Slav accepted, Alapin variation"
D17,"QGD; Slav defense, Czech defense"
D18,QGD; Dutch variation
D19,QGD; Dutch variation
D20,Queen's Gambit Accepted
D21,"QGA, 3.Nf3"
D22,QGA; Alekhine defense
D23,Queen's gambit accepted
D24,"QGA, 4.Nc3"
D25,"QGA, 4.e3"
D26,QGA; classical variation
D27,QGA; classical variation
D28,QGA; Classical variation 7.Qe2
D29,QGA; Classical variation 8...Bb7
D30,Queen's Gambit Declined
D31,"QGD, 3.Nc3"
D32,QGD; Tarrasch Defense
D33,"QGD; Tarrasch, Schlechter-Rubinstein system"
D34,"QGD; Tarrasch, 7...Be7"
D35,QGD; 3...Nf6
D36,"QGD; Exchange, positional line, 6.Qc2"
D37,QGD; 4.Nf3
D38,QGD; Ragozin variation
D39,"QGD; Ragozin, Vienna variation"
D40,QGD; Semi-Tarrasch defense
D41,"QGD; Semi-Tarrasch, 5.cd"
D42,"QGD; Semi-Tarrasch, 7.Bd3"
D43,QGD; Semi-Slav Defense
D44,QGD; Semi-Slav 5.Bg5 dxc4
D45,QGD; Semi-Slav 5.e3
D46,QGD; Semi-Slav 6.Bd3
D47,QGD; Semi-Slav 7.Bc4
D48,"QGD; Meran, 8...a6"
D49,"QGD; Meran, 11.Nxb5"
D50,QGD; 4.Bg5
D51,QGD; 4.Bg5 Nbd7
D52,QGD
D53,QGD; 4.Bg5 Be7
D54,QGD; Anti-neo-Orthodox variation
D55,QGD; 6.Nf3
D56,QGD; Lasker defense
D57,"QGD; Lasker defense, Main line"
D58,QGD; Tartakower (Makagonov-Bondarevsky) system
D59,"QGD; Tartakower (Makagonov-Bondarevsky) system, 8.cd Nxd5"
D60,QGD; Orthodox defense
D61,"QGD; Orthodox defense, Rubinstein variation"
D62,"QGD; Orthodox defense, 7.Qc2 c5, 8.cd (Rubinstein)"
D63,"QGD; Orthodox defense, 7.Rc1"
D64,"QGD; Orthodox defense, Rubinstein attack (with Rc1)"
D65,"QGD; Orthodox defense, Rubinstein attack, Main line"
D66,"QGD; Orthodox defense, Bd3 line"
D67,"QGD; Orthodox defense, Bd3 line, Capablanca freeing manoeuver"
D68,"QGD; Orthodox defense, Classical variation"
D69,"QGD; Orthodox defense, Classical, 13.dxe5"
D70,Neo-Gr?nfeld Defence
D71,"Neo-Gr?nfeld, 5.cd"
D72,"Neo-Gr?nfeld, 5.cd, Main line"
D73,"Neo-Gr?nfeld, 5.Nf3"
D74,"Neo-Gr?nfeld, 6.cd Nxd5, 7.O-O"
D75,"Neo-Gr?nfeld, 6.cd Nxd5, 7.O-O c5, 8.Nc3"
D76,"Neo-Gr?nfeld, 6.cd Nxd5, 7.O-O Nb6"
D77,"Neo-Gr?nfeld, 6.O-O"
D78,"Neo-Gr?nfeld, 6.O-O c6"
D79,"Neo-Gr?nfeld, 6.O-O, Main line"
D80,Gr?nfeld Defence
D81,Gr?nfeld; Russian variation
D82,Gr?nfeld 4.Bf4
D83,Gr?nfeld gambit
D84,Gr?nfeld gambit accepted
D85,"Gr?nfeld, exchange variation"
D86,"Gr?nfeld, Exchange, Classical variation"
D87,"Gr?nfeld, Exchange, Spassky variation"
D88,"Gr?nfeld, Spassky variation, Main line, 10...cd, 11.cd"
D89,"Gr?nfeld, Spassky variation, Main line, 13.Bd3"
D90,"Gr?nfeld, Three knights variation"
D91,"Gr?nfeld, Three knights variation"
D92,"Gr?nfeld, 5.Bf4"
D93,Gr?nfeld with 5.Bf4 O-O 6.e3
D94,"Gr?nfeld, 5.e3"
D95,Gr?nfeld with 5.e3 O-O 6.Qb3
D96,"Gr?nfeld, Russian variation"
D97,"Gr?nfeld, Russian variation with 7.e4"
D98,"Gr?nfeld, Russian, Smyslov variation"
D99,"Gr?nfeld Defense, Smyslov, Main line"
E00,Queen's Pawn Game
E01,"Catalan, closed"
E02,"Catalan, open, 5.Qa4"
E03,"Catalan, open, Alekhine variation"
E04,"Catalan, Open, 5.Nf3"
E05,"Catalan, Open, Classical line"
E06,"Catalan, Closed, 5.Nf3"
E07,"Catalan, Closed, 6...Nbd7"
E08,"Catalan, Closed, 7.Qc2"
E09,"Catalan, Closed, Main line"
E10,Queen's Pawn Game 3.Nf3
E11,Bogo-Indian Defense
E12,Queen's Indian Defense
E13,"Queen's Indian, 4.Nc3, Main line"
E14,"Queen's Indian, 4.e3"
E15,"Queen's Indian, 4.g3"
E16,"Queen's Indian, Capablanca variation"
E17,"Queen's Indian, 5.Bg2 Be7"
E18,"Queen's Indian, Old Main line, 7.Nc3"
E19,"Queen's Indian, Old Main line, 9.Qxc3"
E20,Nimzo-Indian Defense
E21,"Nimzo-Indian, Three knights variation"
E22,"Nimzo-Indian, Spielmann variation"
E23,"Nimzo-Indian, Spielmann, 4...c5, 5.dc Nc6"
E24,"Nimzo-Indian, Saemisch variation"
E25,"Nimzo-Indian, Saemisch variation, Keres variation"
E26,"Nimzo-Indian, Saemisch variation, 4.a3 Bxc3+ 5.bxc3 c5 6.e3"
E27,"Nimzo-Indian, Saemisch variation, 5...0-0"
E28,"Nimzo-Indian, Saemisch variation, 6.e3"
E29,"Nimzo-Indian, Saemisch variation, Main line"
E30,"Nimzo-Indian, Leningrad variation,"
E31,"Nimzo-Indian, Leningrad variation, main line"
E32,"Nimzo-Indian, Classical variation"
E33,"Nimzo-Indian, Classical variation, 4...Nc6"
E34,"Nimzo-Indian, Classical, Noa variation"
E35,"Nimzo-Indian, Classical, Noa variation, 5.cxd5 exd5"
E36,"Nimzo-Indian, Classical, Noa variation, 5.a3"
E37,"Nimzo-Indian, Classical, Noa variation, Main line, 7.Qc2"
E38,"Nimzo-Indian, Classical, 4...c5"
E39,"Nimzo-Indian, Classical, Pirc variation"
E40,"Nimzo-Indian, 4.e3"
E41,"Nimzo-Indian, 4.e3 c5"
E42,"Nimzo-Indian, 4.e3 c5, 5.Ne2 (Rubinstein)"
E43,"Nimzo-Indian, Fischer variation"
E44,"Nimzo-Indian, Fischer variation, 5.Ne2"
E45,"Nimzo-Indian, 4.e3, Bronstein (Byrne) variation"
E46,"Nimzo-Indian, 4.e3 O-O"
E47,"Nimzo-Indian, 4.e3 O-O, 5.Bd3"
E48,"Nimzo-Indian, 4.e3 O-O, 5.Bd3 d5"
E49,"Nimzo-Indian, 4.e3, Botvinnik system"
E50,"Nimzo-Indian, 4.e3 e8g8, 5.Nf3, without ...d5"
E51,"Nimzo-Indian, 4.e3 e8g8, 5.Nf3 d7d5"
E52,"Nimzo-Indian, 4.e3, Main line with ...b6"
E53,"Nimzo-Indian, 4.e3, Main line with ...c5"
E54,"Nimzo-Indian, 4.e3, Gligoric system with 7...dc"
E55,"Nimzo-Indian, 4.e3, Gligoric system, Bronstein variation"
E56,"Nimzo-Indian, 4.e3, Main line with 7...Nc6"
E57,"Nimzo-Indian, 4.e3, Main line with 8...dxc4 and 9...Bxc4 cxd4"
E58,"Nimzo-Indian, 4.e3, Main line with 8...Bxc3"
E59,"Nimzo-Indian, 4.e3, Main line"
E60,King's Indian Defense
E61,"King's Indian Defense, 3.Nc3"
E62,"King's Indian, Fianchetto variation"
E63,"King's Indian, Fianchetto, Panno variation"
E64,"King's Indian, Fianchetto, Yugoslav system"
E65,"King's Indian, Yugoslav, 7.O-O"
E66,"King's Indian, Fianchetto, Yugoslav Panno"
E67,"King's Indian, Fianchetto with ...Nd7"
E68,"King's Indian, Fianchetto, Classical variation, 8.e4"
E69,"King's Indian, Fianchetto, Classical Main line"
E70,"King's Indian, 4.e4"
E71,"King's Indian, Makagonov system (5.h3)"
E72,King's Indian with e4 & g3
E73,"King's Indian, 5.Be2"
E74,"King's Indian, Averbakh, 6...c5"
E75,"King's Indian, Averbakh, Main line"
E76,"King's Indian, Four pawns attack"
E77,"King's Indian, Four pawns attack, 6.Be2"
E78,"King's Indian, Four pawns attack, with Be2 and Nf3"
E79,"King's Indian, Four pawns attack, Main line"
E80,"King's Indian, Sämisch variation"
E81,"King's Indian, Sämisch, 5...O-O"
E82,"King's Indian, Sämisch, double Fianchetto variation"
E83,"King's Indian, Sämisch, 6...Nc6"
E84,"King's Indian, Sämisch, Panno Main line"
E85,"King's Indian, Sämisch, Orthodox variation"
E86,"King's Indian, Sämisch, Orthodox, 7.Nge2 c6"
E87,"King's Indian, Sämisch, Orthodox, 7.d5"
E88,"King's Indian, Sämisch, Orthodox, 7.d5 c6"
E89,"King's Indian, Sämisch, Orthodox Main line"
E90,"King's Indian, 5.Nf3"
E91,"King's Indian, 6.Be2"
E92,"King's Indian, Classical variation"
E93,"King's Indian, Petrosian system, Main line"
E94,"King's Indian, Orthodox variation"
E95,"King's Indian, Orthodox, 7...Nbd7, 8.Re1"
E96,"King's Indian, Orthodox, 7...Nbd7, Main line"
E97,"King's Indian, Orthodox, Aronin-Taimanov variation (Yugoslav attack / Mar del Plata variation)"
E98,"King's Indian, Orthodox, Aronin-Taimanov, 9.Ne1"
E99,"King's Indian, Orthodox, Aronin-Taimanov, Main"
A00,Irregular Openings or Game Aborted
